fonction,categorie,sous_categorie,nom,score_actuel,score_cible,justification
GV,GV.OC,GV.OC-01,Mission organisationnelle comprise,2,4,La mission est comprise de facon informelle mais non formalisee dans une charte d entreprise.
GV,GV.OC,GV.OC-03,Exigences legales et reglementaires comprises,2,4,Le RGPD et PCI-DSS sont identifies mais pas completement integres dans les processus techniques.
GV,GV.RM,GV.RM-01,Objectifs de gestion des risques convenus,1,3,Pas de politique formelle de gestion des risques validée par la direction.
GV,GV.RR,GV.RR-01,Roles et responsabilites cyber etablis,2,4,Les roles existent au sein de la technique mais pas de responsabilisation transverse ni de DPO officiel.
GV,GV.PO,GV.PO-01,Politique cyber etablie,1,4,Pas de PSSI (Politique de Securite des Systemes d Information) globale et redigee.
GV,GV.SC,GV.SC-01,Programme de gestion des risques fournisseurs,1,3,Pas d audit systematique de la conformite des sous-traitants cloud et SaaS (Art 28 RGPD).
ID,ID.AM,ID.AM-01,Inventaire materiel maintenu,2,3,Inventaire automatique partiel des serveurs cloud mais pas des equipements locaux.
ID,ID.AM,ID.AM-03,Cartographie des flux de donnees,1,4,Aucune cartographie des flux de donnees personnelles et de paiement n est documentee.
ID,ID.RA,ID.RA-01,Vulnerabilites identifiees,2,4,Des scans de vulnerabilites ad-hoc sont faits mais pas de processus de gestion des correctifs formalise.
ID,ID.RA,ID.RA-05,Risques cyber prioritises,1,4,Pas de registre des risques formellement mis a jour et presente au CODIR.
PR,PR.AA,PR.AA-03,Authentification forte (MFA),2,4,MFA actif sur les consoles cloud mais pas sur l ensemble des postes de developpement ni acces admin.
PR,PR.AA,PR.AA-05,Acces gere selon moindre privilege,1,4,Droits d acces trop permissifs accordes par defaut aux developpeurs et supports.
PR,PR.DS,PR.DS-01,Donnees protegees au repos,2,4,Bases de donnees cloud chiffrees par defaut mais cles de chiffrement gerees par le fournisseur (pas de KMS propre).
PR,PR.DS,PR.DS-02,Donnees protegees en transit,3,4,HTTPS systematique sur les APIs de paiement externes.
PR,PR.DS,PR.DS-11,Sauvegardes creees et testees,2,4,Sauvegardes automatiques dans le cloud mais pas de tests de restauration periodiques documentes.
PR,PR.PS,PR.PS-06,Pratiques securite du code,1,4,Pas d analyse statique de code (SAST) systematique ni de controle des dependances dans la CI/CD.
DE,DE.CM,DE.CM-01,Reseaux surveilles,2,4,Logs cloud collectes mais pas de SIEM ni de surveillance en temps reel centralisee.
DE,DE.AE,DE.AE-02,Activites suspectes analysees,1,4,Pas d equipe dediee (SOC interne ou externe) pour analyser et lever les alertes 24/7.
RS,RS.MA,RS.MA-01,Plan de reponse execute,1,4,Pas de plan de reponse aux incidents documente (PUI) ni de playbook de gestion des violations de donnees.
RS,RS.CO,RS.CO-02,Parties prenantes internes notifiees,1,4,Pas de procedure d escalade vers le juridique pour la notification CNIL sous 72h (Art 33).
RC,RC.RP,RC.RP-01,Plan de reprise execute,1,4,Pas de plan de continuite ni de reprise d activite (PCA/PRA) formalise et teste pour la fintech.
RC,RC.RP,RC.RP-03,Integrite sauvegardes verifiee,1,4,Aucun test formel de restauration des sauvegardes n est realise regulierement.
